Date,City,PM2.5,PM10,NO2,CO,SO2,O3,Temperature,Humidity
2024-01-01,Delhi,120,180,40,1.2,10,30,28,60
2024-01-02,Delhi,110,170,38,1.1,12,35,27,58
2024-01-03,Delhi,95,150,30,0.9,11,33,26,55
2024-01-04,Delhi,130,200,45,1.4,14,36,29,65
2024-01-05,Delhi,150,220,50,1.6,16,40,31,70
2024-01-06,Delhi,80,120,25,0.7,8,28,25,52
2024-01-07,Delhi,90,130,28,0.8,9,29,26,54
2024-01-08,Delhi,100,140,30,0.9,10,31,27,56
2024-01-09,Delhi,140,210,48,1.5,15,38,30,68
2024-01-10,Delhi,160,240,55,1.8,18,42,32,72